#n, lag-in-frames, cpu-used, br, frames, psnr, real, cpu, outfile_sz, ext_psnr, ext_ssim, 
0, 9, 2, 2940.509, 1680, 43.767, 1028.435, 2731.65, 25742169, 30.946803, 0.960770, 
1, 9, 4, 3022.563, 1680, 43.592, 906.724, 2055.68, 26460153, 30.936896, 0.960156, 
2, 9, 6, 3108.281, 1680, 43.623, 897.459, 2027.58, 27210194, 30.935266, 0.960075, 
3, 10, 2, 2941.887, 1680, 43.750, 1014.761, 2677.08, 25754218, 30.946578, 0.960786, 
4, 10, 4, 3026.769, 1680, 43.577, 899.942, 2031.51, 26496949, 30.936763, 0.960179, 
5, 10, 6, 3113.16, 1680, 43.611, 886.085, 1999.25, 27252865, 30.935181, 0.960120, 
6, 11, 2, 2876.729, 1680, 43.698, 991.294, 2626.66, 25184083, 30.943822, 0.960678, 
7, 11, 4, 2961.94, 1680, 43.527, 874.523, 1995.11, 25929680, 30.933984, 0.960083, 
8, 11, 6, 3044.941, 1680, 43.561, 867.51, 1970.71, 26655939, 30.932634, 0.960020, 
9, 12, 2, 2845.123, 1680, 43.670, 985.805, 2567.12, 24907516, 30.943538, 0.960658, 
10, 12, 4, 2927.453, 1680, 43.501, 874.705, 1959.71, 25627908, 30.933481, 0.960063, 
11, 12, 6, 3010.324, 1680, 43.529, 869.393, 1936.73, 26353041, 30.931898, 0.959976, 

